GAME,MIN,REB,AST,TO,STL,BLK,PF,PTS,W,L,Diff,OFFENSE: Pts/Poss,OFFENSE: eFG%,OFFENSE: TOV%,OFFENSE: ORB%,OFFENSE: FT Rate,DEFENSE: Pts/Poss,DEFENSE: eFG%,DEFENSE: TOV%,DEFENSE: ORB%,DEFENSE: FT Rate
0,1,0,0,0,0,0,0,0,32.0,17.0,6.8,119.8,54.5%,13.5%,32.8%,21.2,113.0,54.3%,13.4%,25.0%,17.7
1,7,3,0,1,0,0,0,3,37.0,12.0,8.9,121.2,57.1%,12.6%,27.1%,19.9,112.3,52.8%,11.9%,26.0%,14.9
2,15,3,0,1,0,0,2,2,26.0,23.0,0.8,113.3,53.2%,14.6%,29.0%,23.1,112.5,54.9%,15.7%,25.7%,21.4
3,15,3,0,0,0,0,2,2,21.0,27.0,-1.9,118.6,54.1%,13.3%,30.6%,21.7,120.4,58.0%,14.2%,28.2%,19.9
4,21,7,2,2,0,1,1,10,17.0,31.0,-2.8,115.0,54.7%,13.4%,27.3%,18.5,117.8,56.1%,13.6%,27.9%,18.0
5,19,3,2,0,0,0,0,5,19.0,28.0,-1.0,116.0,54.0%,12.9%,28.4%,17.8,117.0,54.7%,12.5%,26.8%,20.6
6,28,7,2,3,0,2,3,5,10.0,37.0,-11.9,110.6,52.9%,13.9%,25.9%,17.0,122.5,58.6%,13.8%,27.5%,21.3
7,25,3,4,2,0,0,2,4,26.0,23.0,0.8,113.3,53.2%,14.6%,29.0%,23.1,112.5,54.9%,15.7%,25.7%,21.4
8,33,5,4,1,1,1,3,15,34.0,15.0,8.4,120.5,57.8%,12.3%,23.9%,21.2,112.1,52.5%,15.8%,30.7%,21.4
9,21,8,6,2,2,2,3,6,23.0,25.0,2.7,115.0,53.6%,12.6%,26.4%,20.7,112.3,53.0%,13.7%,26.3%,22.6
10,24,4,1,0,0,0,0,3,28.0,21.0,3.6,119.7,57.0%,14.9%,28.5%,24.4,116.1,54.4%,12.9%,27.8%,19.0
